Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Thank you High Peak Food Bank and Zink Project ","Buxton, East Midlands, United Kingdom",https://www.gofundme.com/f/thank-you-high-peak-food-bank-and-zink-project,500,175,2021-07-22,2021-06-22,"THE ZINK PROJECT CIO","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-07-22 25/2021-06-30 100/2021-06-28 20/2021-06-24 10/2021-06-22 20","I first came in to contact with Zink in September last year. Having had a mental breakdown and suicide attempt I was struggling mentally and financially. I went to the food bank and while there I had a mini breakdown. This is when I met [Zink Advice Worker] Julie. Julie was extremely easy to talk to and quickly gained my trust to be able to talk to her. She helped me sort through piles of paperwork  speaking to people about bills and debts  getting me to speak to the right people to help me and being there when I just needed to talk. Since September I have been diagnosed with autism and the biggest problem I had was a debt to my landlord of over £4000 for which they had an eviction order. Julie was instrumental in helping me get a court hearing where the eviction was suspended. Julie's knowledge was brilliant and made we aware of funds/benefits available to me and because of this in under nine months I have been able to pay off (through myself and funds) the entire arrears and have the eviction set aside. For the first few months I was also reliant on the food bank side while my money git sorted.  I cannot thank Julie (and Zink and high peak food bank) enough for the last nine months. Without her and them I certainly wouldn't be in as good a position as I am now - mentally  financially and emotionally.   I want to give back and as I am not working I don't have the means to give what I want.   This is my thank you. Please help me so that they can continue to help people back on their feet the way they have helped me.   In addition to this I have had some lovely people on here and B and Q donate materials for making a mosaic and Buxton Woodwork  Buxton building supplies and Markovitz have all donated enough materials for me to make around six bird tables and several bird boxes. These will be being sold and auctioned off by Zink/food bank for some more money for them.   Thank you in advance as I say thanks to them",False
" Community Kiddies Meal & Food Banking","London, Greater London, United Kingdom",https://www.gofundme.com/f/2dbc93x37c,300000,55,2021-06-06,2021-05-10,,,1,"2021-06-06 55","My initiative : Kiddies Snack meals & Food Bank Community initiative is aimed at tackling child hunger  food poverty and global clean water in response to the Covid-19 pandemic.   As a local carer champion in the borough of Lewisham  London United Kingdom  In partnership with Grillaz BBQ Bistro Cafe LoungeU.K LTD and AFE Global Development Foundation who during the pandemic made and distributed meals to communities in partnership with local Chefs to ensure children and families were fed during lockdown.   Our joint mandate shall be to raise awareness through advocacy to fight food poverty and providing potable drinking water to children and families with a warm hot meals  raw and water to ensure no child or family goes or to bed hungry as part of our sustainable development goal.   Following the success of the goodwill during the height of the pandemic last year  I am hoping to team up with community local champions in various boroughs to fight poverty through this initiative.   We are raising money to secure a central fulfilment centre so that we can centralise our efforts in reaching and providing out services daily.    We want to secure a space to not only cook and provide our meals but also provide a safe space where children can come and eat a warm meal and receive support and advice about life  from education to well being support.   What we need?  With lockdown easing and support for families also easing we want to ensure that families do not face the fear of not being able to feed their children.   To ensure that we can reach as many children and families as possible we need a permanent fulfilment centre where all our operations  services and activities can be centralised. ",False
" YAWN Mayday Foodbank Fund ","Rosyth, Scotland, United Kingdom",https://www.gofundme.com/f/2djux3q0y0,200,260,2021-05-23,2021-05-15,,,10,"2021-05-23 10/2021-05-22 10/2021-05-22 20/2021-05-22 10/2021-05-22 10/2021-05-22 130/2021-05-22 30/2021-05-19 10/2021-05-15 10/2021-05-15 20","YAWN are raising money for Dunfermline Foodbank with our latest live streamed gig. The event is at 8pm on May 22nd live from YAWNs facebook and youtube",False
" Mid Essex Food Support ","Danbury, East of England, United Kingdom",https://www.gofundme.com/f/4ugph,500,60,2021-06-08,2021-05-09,,,2,"2021-06-08 50/2021-06-07 10","This is a non profit organisation  we run purely on food donations and donations through our go fund me page.   Hello my name is Hayley The last few months along side my wonderful volunteers we have been collecting and distributing food parcels in Chelmsford Maldon wickford  billericay  witham  brentwood heybridge and Danbury in Essex. I also offer advise and help for people further away to get the help they need with food parcels  clothing and every day essentials. I have come to realise not not everyone has access to a vehicle and I do  so I have been able to help people in need such as the elderly who are isolating families who can't get to food banks  people and families who are struggling with there benefits and making ends meet. The delivery service is also a door opening to engage in the lonely and vulnerable in the community  also people who want to donate food but have no way of delivering to a food bank. This is a private group and confidentiality means everything if you do not wish to post and ask for help on this page then please inbox me and I will help the best I can. all food and other essentials are currently need for donation which I can pick up. Things needed include *Tinned food and cupboard soup beans custard rice pudding vegetables spaghetti hoops tuna chic pea's fruit Sugar Tea Coffee Bread Rolls *grains pasta rice lentils *cereals all kinds *long life milk *treats Biscuits sweets *Toiletries Toothpaste Soap Shower gel Toilet paper Deodorant *Household items Washing powder/liquid Cleaning materials ",False
" Help raise money for a double freezer ","Newport, West Midlands, United Kingdom",https://www.gofundme.com/f/help-raise-money-for-a-double-freezer,300,15,2021-06-16,2021-06-11,,,2,"2021-06-16 5/2021-06-12 10","So today I had my local food bank come round to me and tell me that there freezer has packed up and they help loads of people who can't afford food and i would like to help them by getting a new double freezer. With the old freezer they have had to chuck loads of food away so please guys let's help others ",False
" The Scouse Fundraiser ","Liverpool, North West England, United Kingdom",https://www.gofundme.com/f/scousefundraiser,5000,3315,2021-07-23,2021-05-04,,,210,"2021-07-23 20/2021-07-22 20/2021-07-22 10/2021-07-21 10/2021-07-18 10/2021-07-18 25/2021-07-18 25/2021-07-18 10/2021-07-18 5/2021-07-18 20/2021-07-18 10/2021-07-18 10/2021-07-18 25/2021-07-18 10/2021-07-18 50/2021-07-17 20/2021-07-17 20/2021-07-17 20/2021-07-17 10/2021-07-17 10/2021-07-17 12/2021-07-17 20/2021-07-16 10/2021-07-16 18/2021-07-16 40/2021-07-16 30/2021-07-16 10/2021-07-16 30/2021-07-16 20/2021-07-16 10/2021-07-16 10/2021-07-16 50/2021-07-14 10/2021-07-14 10/2021-07-06 15/2021-07-06 10/2021-06-29 10/2021-06-28 10/2021-06-17 10/2021-06-15 20/2021-06-15 5/2021-06-14 25/2021-06-14 5/2021-06-14 20/2021-06-14 50/2021-06-14 10/2021-06-14 10/2021-06-14 10/2021-06-13 20/2021-06-13 30/2021-06-13 5/2021-06-13 20/2021-06-13 10/2021-06-13 25/2021-06-12 5/2021-06-12 20/2021-06-12 5/2021-06-12 10/2021-06-11 20/2021-06-11 10/2021-06-10 10/2021-06-10 20/2021-06-10 10/2021-06-09 10/2021-06-09 30/2021-06-09 5/2021-06-09 10/2021-06-09 10/2021-06-09 10/2021-06-09 25/2021-06-08 10/2021-06-08 5/2021-06-08 10/2021-06-08 10/2021-06-08 30/2021-06-08 20/2021-06-08 5/2021-06-08 10/2021-06-08 10/2021-06-08 5/2021-06-08 100/2021-06-08 5/2021-06-08 10/2021-06-08 5/2021-06-08 10/2021-06-08 20/2021-06-08 20/2021-06-08 20/2021-06-05 10/2021-06-05 10/2021-06-04 50/2021-06-03 10/2021-06-03 10/2021-06-02 20/2021-06-02 5/2021-06-02 10/2021-06-01 10/2021-06-01 10/2021-06-01 10/2021-06-01 10/2021-06-01 10/2021-06-01 10/2021-06-01 5/2021-06-01 5/2021-05-30 10/2021-05-29 10/2021-05-29 5/2021-05-29 10/2021-05-29 20/2021-05-28 12/2021-05-28 15/2021-05-28 10/2021-05-28 20/2021-05-28 10/2021-05-26 5/2021-05-25 48/2021-05-25 5/2021-05-25 20/2021-05-25 10/2021-05-24 10/2021-05-24 10/2021-05-24 10/2021-05-23 10/2021-05-23 15/2021-05-23 14/2021-05-23 10/2021-05-23 10/2021-05-22 10/2021-05-20 10/2021-05-20 10/2021-05-20 10/2021-05-20 10/2021-05-20 10/2021-05-19 5/2021-05-19 10/2021-05-18 5/2021-05-18 10/2021-05-18 10/2021-05-18 10/2021-05-18 10/2021-05-18 20/2021-05-17 20/2021-05-17 50/2021-05-17 5/2021-05-16 116/2021-05-16 10/2021-05-16 25/2021-05-16 10/2021-05-16 10/2021-05-16 10/2021-05-16 10/2021-05-16 10/2021-05-16 20/2021-05-16 10/2021-05-16 10/2021-05-16 10/2021-05-16 10/2021-05-16 20/2021-05-16 10/2021-05-15 5/2021-05-15 10/2021-05-15 20/2021-05-15 10/2021-05-15 100/2021-05-14 5/2021-05-14 20/2021-05-14 10/2021-05-14 10/2021-05-14 10/2021-05-13 20/2021-05-13 50/2021-05-12 10/2021-05-12 15/2021-05-11 50/2021-05-11 10/2021-05-11 10/2021-05-11 10/2021-05-11 10/2021-05-11 10/2021-05-10 10/2021-05-10 10/2021-05-09 20/2021-05-09 10/2021-05-09 20/2021-05-09 10/2021-05-08 10/2021-05-08 20/2021-05-08 10/2021-05-08 20/2021-05-08 20/2021-05-08 10/2021-05-08 10/2021-05-08 30/2021-05-08 30/2021-05-08 10/2021-05-08 25/2021-05-08 10/2021-05-08 20/2021-05-08 10/2021-05-08 10/2021-05-07 10/2021-05-07 10/2021-05-07 10/2021-05-07 20/2021-05-07 20/2021-05-07 5/2021-05-07 30/2021-05-07 10/2021-05-07 20/2021-05-07 5","We are very pleased to announce that this summer the Scouse Fundraiser will be bigger and better than anything you’ve seen from us over the last 6 months.  We’ve got some very exciting group challenges in the pipeline. Over the summer months  we’re hoping to complete the following challenges :Yorkshire 3 PeaksSky DiveLake District 10 PeaksLeasowe Lighthouse Abseil  Any money raised will be going towards:Providing fresh  local food produce to put in food parcels for struggling families and individuals;Helping us feed  clothe and provide other essential items to the homeless;Ensuring foodbank supplies are well stocked;Purchasing equipment for disadvantaged children;Funding the general running of vital services such as providing food parcels and homeless outreach.  When donating  please can you select the team member who you are donating for.  Thank you for your support.",False
" Oldham NCS looking to help the local community ","Oldham, North West England, United Kingdom",https://www.gofundme.com/f/oldham-ncs-looking-to-help-the-local-community,50,45,2021-07-17,2021-07-14,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",7,"2021-07-17 5/2021-07-15 5/2021-07-15 5/2021-07-15 10/2021-07-14 5/2021-07-14 5/2021-07-14 10","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
" Witham NCS fundraiser 2021 ","Lincoln, East Midlands, United Kingdom",https://www.gofundme.com/f/witham-ncs-fundraiser-2021,0,300,,2021-07-22,,,0,,"Hello. We are a group of Year 12 NCS participants. We are currently raising money in order to buy food  for food banks and the homeless  in order to help the vulnerable as we feel as if this is needed within our community.   ",True
" Help me have a life. ","Norwich, East of England, United Kingdom",https://www.gofundme.com/f/help-andy-get-a-wheelchair,0,10000,,2021-05-27,,,0,,"4 years ago I was struck down with a very rare illness. Its a form or autoimmune arthritis that has destroyed my body and left me disabled literally overnight. It continues to destroy my joints every day but thanks to medication it has been slowed down a bit. Then  last year  to make matters worse  I caught a form of coronovirus that put me in hospital for 2 months. I spent 3 weeks in a coma on a lung bypass machine. I very nearly died and at more than one occasion my wife was told to prepare for the worst and was told that I had about a 10% chance of survival. I lived but I have been left with severe lung damage. I have lost about 40% of my lung function and now require oxygen constantly.   So now I need a wheelchair to go anywhere that requires walking a distance and oxygen too.   I have been left with other side effects of the coronovirus and the arthritis causes a lot more issues than just my joints but it would take an age to list them all and describe them too so I will just say that I am f*#*Ed.   I have a wife  3 boys and a granddaughter and I'm only 45 so it's like my life has been taken away from me far too soon as I miss out on so much. I can't have a kick around with my son  I struggle with chess. I can't teach my youngest how to ride his bike. My life really sucks. Life on the pittance of benefits we get is terrible. Food banks help and there are many other groups out there that help out too but we never have any money to be able to have any decent standard of life. So please put your hand in your pocket and help me and my family out. Help me out so I can get a decent  working wheelchair. Help us out so that maybe we could have a dream family holiday. Help us out so we can get our house decorated. Jobs that I was going to do but now I can't. Help us out so we can get our garden sorted out. The list goes on and on of things I wanted to do but can't anymore. Please just help us out. ",True
" The Lighthouse ","Peacocks Shopping Centre, South East England, United Kingdom",https://www.gofundme.com/f/9sksb6-the-lighthouse,0,550,,2021-07-24,,,0,,"We are a small group of NCS (National Citizen Service) members who are organising a fundraise for 'The Lighthouse'. A vibrant hub in the centre of Woking that hosts a range of creative projects to support  encourage  and empower those who find themselves on the margins. They do this by supporting the community such as providing a foodbank  jigsaw  chat & support  money advice and much more. ",True
