Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Homeless family needing funds for housing ","Winchester, South East England, United Kingdom",https://www.gofundme.com/f/homeless-family-of-4-living-in-a-2-berth-caravan,1500,230,2021-10-14,2021-10-09,,,18,"2021-10-14 20/2021-10-14 10/2021-10-13 20/2021-10-13 5/2021-10-13 20/2021-10-13 5/2021-10-13 10/2021-10-13 10/2021-10-13 10/2021-10-13 20/2021-10-10 5/2021-10-10 5/2021-10-09 20/2021-10-09 5/2021-10-09 10/2021-10-09 10/2021-10-09 40/2021-10-09 5","We were in private rent and given notice but were unable to secure another home as we did not have the funds and as we were on council list and with George's medical issues we were hoping they could help. Unfortunately this had not happened by time we were to be out and we have had to move into our caravan and I thank god we had it. We are in a caravan park but it's an hour away from kids school and takes us 2 hours twice a day there and back costing alot of petrol as well  it's not ideal and a situation I do not want my children to be in especially with winter coming in. We need to get a private rent and council will then help with some of the rent but we do not have the deposit and first month rent to pay upfront and we are in need of purchasing some second hand furniture as not everything in the previous home was ours. I hate being in this situation but for my children I am in need of help. Thank you for all your support and taking time to read this.",False
" Hull homeless community project, team 3, NCS ","Airlo Arena, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/hull-homeless-community-project-team-3-ncs,200,230,2021-08-06,2021-07-26,"hull homeless community project","Registered nonprofitDonations eligible for Gift Aid.",16,"2021-08-06 5/2021-07-31 20/2021-07-29 5/2021-07-28 10/2021-07-28 10/2021-07-28 10/2021-07-28 50/2021-07-27 5/2021-07-27 5/2021-07-27 10/2021-07-26 35/2021-07-26 5/2021-07-26 20/2021-07-26 20/2021-07-26 10/2021-07-26 10","  Hi guys  Join us in making a difference by supporting a good cause! We’re raising money for The Hull homeless community project and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to us. -Team 3 NCS :O     The Hull homeless community project helps those in need throughout Hull. Their aim is to assist the less fortunate of Kingston upon Hull in reaching their full potential in regards to finding shelter  advice  assistance with finances  mental and physical health and family support.  ",False
" Homeless Tour of UK ""Walking To Freedom""","Edinburgh, Scotland, United Kingdom",https://www.gofundme.com/f/homeless-tour-of-uk-walking-to-freedom,10000,35,2021-10-16,2021-10-13,"Shelter, National Campaign for Homeless People Limited","Registered nonprofitDonations eligible for Gift Aid.",1,"2021-10-16 35","Walking To Freedom is going again doing what I can call a ""Homeless Tour Of UK"".   5th of March 2022 is set and the start and finish line is Murrayfield Stadium.    This time after walking to London from Edinburgh I would be then walking over to Wales then up the West side all the way upto Glasgow then back over to Edinburgh walking along roads and tow paths.   Homelessness is everywhere but it's just not on the streets its also in temporary accommodation where also families with young children are too and this is where your donation helps  Shelter needs donations and fundraising for them to continue the Fight For Home campaign so that no one has to sleep rough or in temporary accommodation a specially families.     The city's I would be walking through are;   Newcastle Leeds Doncaster Peterborough London Bristol Cardiff Birmingham Manchester Carlisle Glasgow   help over a million people a year struggling with bad housing or homelessness  and we campaign to prevent it in the first place. We're here so no one has to fight bad housing or homelessness on their own.Hi friends  join me in making a difference by supporting a good cause! I'm raising money for Shelter  National Campaign for Homeless People Limited and any donation will help make a difference. Thank you in advance for your contribution to this cause which means so much to me. ",False
" We want to help and support the homeless. ","Capital City Academy, Greater London, United Kingdom",https://www.gofundme.com/f/we-want-to-help-and-support-the-homeless,50,30,2021-08-19,2021-08-16,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-08-19 5/2021-08-18 5/2021-08-17 5/2021-08-16 10/2021-08-16 5","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
