Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Description,Complete
" Hull homeless community project, team 3, NCS ","Airlo Arena, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/hull-homeless-community-project-team-3-ncs,200,230,2021-08-06,2021-07-26,"hull homeless community project","Registered nonprofitDonations eligible for Gift Aid.",16,"2021-08-06 5/2021-07-31 20/2021-07-29 5/2021-07-28 10/2021-07-28 10/2021-07-28 10/2021-07-28 50/2021-07-27 5/2021-07-27 5/2021-07-27 10/2021-07-26 35/2021-07-26 5/2021-07-26 20/2021-07-26 20/2021-07-26 10/2021-07-26 10","  Hi guys  Join us in making a difference by supporting a good cause! We’re raising money for The Hull homeless community project and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to us. -Team 3 NCS :O     The Hull homeless community project helps those in need throughout Hull. Their aim is to assist the less fortunate of Kingston upon Hull in reaching their full potential in regards to finding shelter  advice  assistance with finances  mental and physical health and family support.  ",False
" Thousands homeless due to war in Afghanistan ","Edgware, Greater London, United Kingdom",https://www.gofundme.com/f/2fwpym0460,500,283,2021-07-20,2021-07-15,,,8,"2021-07-20 30/2021-07-19 73/2021-07-17 100/2021-07-17 5/2021-07-16 10/2021-07-16 10/2021-07-15 5/2021-07-15 50","Asalam Alaikom brothers & sisters     We are fundraising for the displaced families that have fled their homes due to the rising conflict in Kandahar and other parts of Afghanistan.    According to the UN refugee agency  large numbers of people are fleeing Afghanistans major cities and the dramatic humanitarian situation may soon deteriorate further. The principal southern city of Kandahar is half empty  and many Afghans have also left the capital  Kabul and Jalalabad. Meanwhile  Afghans neighbours have “more or less” closed their borders.     Our goal is to provide food  clothing and any other urgent needs of these displaced families.   Once the funds are collected  they will be send to Kandahar to families in need of these funds and will.    Please donate generously  and if you cant donate please share this Gofundme link on your social media.    All updates will be shared with you once the funds are raised. ",False
" We want to help and support the homeless. ","Capital City Academy, Greater London, United Kingdom",https://www.gofundme.com/f/we-want-to-help-and-support-the-homeless,50,30,2021-08-19,2021-08-16,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",5,"2021-08-19 5/2021-08-18 5/2021-08-17 5/2021-08-16 10/2021-08-16 5","The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org. Hi friends  join me in making a difference by supporting a good cause! I'm raising money for The Trussell Trust and any donation will help make an impact. Thank you in advance for your contribution to this cause which means so much to me.",False
