CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1043985,"UCKG HelpCentre",True,2020-12-21,0,0,,https://www.justgiving.com/Khrystal-Deplessis1,,0,950,"Khrystal's soup kitchen fundraiser"
,,,1043985,"UCKG HelpCentre",False,2020-12-22,4,4,,https://www.justgiving.com/Dirce-Cassandra,2020-12-27,55,500,"Dirce's Food bank and Soup Kitchen"
,,,1043985,"UCKG HelpCentre",True,2020-12-08,0,0,,https://www.justgiving.com/Francis-Momoh,,0,400,"Soup kitchen"
,,,1102612,"Zichron Menachem",True,2020-12-21,0,0,,https://www.justgiving.com/Khrystal-Deplessis,,0,400,"Khrystal's 5 ALIVE SOUP KITCHEN"
,,,1043985,"UCKG HelpCentre",True,2020-12-19,2,2,"2020-12-26 10/2020-12-23 10",https://www.justgiving.com/Pamela-Constant1,2020-12-26,20,1000,"Soup  kitchen helping those in need"
,,,1043985,"UCKG HelpCentre",True,2020-12-17,2,2,"2020-12-17 10/2020-12-17 10",https://www.justgiving.com/Dami-Foodbank-Appeal,2020-12-17,20,400,"Dami's Food Bank & Soup Kitchen"
,,,1043985,"UCKG HelpCentre",True,2020-12-07,3,3,"2020-12-26 15/2020-12-20 15/2020-12-18 5",https://www.justgiving.com/Edna-Thomas1,2020-12-26,35,1275,"Edna's Soup kitchen "
,,,1043985,"UCKG HelpCentre",False,2020-11-29,6,6,"2020-12-18 10/2020-12-18 10/2020-12-09 10/2020-12-09 10/2020-11-29 25",https://www.justgiving.com/Grace-Zuma2,2020-12-23,270,600,"UCKG Outreach-  5ALIVE protect"
,,,exempt,"Loughborough Students Rag",False,2020-10-26,2,2,"2020-12-22 60/2020-11-03 40",https://www.justgiving.com/Action-LSU-Soupkitchen,2020-12-22,447,2080,"LSU Action Soup Kitchen"
,,,263710,Shelter,False,2016-04-07,8,0,,https://www.justgiving.com/Group-Soup-Shelter,,215,300,"On behalf of Group Soup's Homeless Awareness Campaign"
,,,1043985,"UCKG HelpCentre",False,2019-12-10,10,10,"2020-12-20 20/2020-12-05 170/2020-11-28 20/2020-11-27 20/2020-11-26 20/2020-11-18 10/2020-11-16 40/2020-01-08 60/2019-12-13 20/2019-12-12 10",https://www.justgiving.com/Florencef,2020-12-20,381,400,"Florence's 5Alive! Soup Kitchen. "
,,,1051770,"Soup Kitchen at the American International Church",False,2020-12-16,24,24,"2020-12-21 20/2020-12-18 20/2020-12-18 5/2020-12-18 10/2020-12-17 5/2020-12-17 5/2020-12-17 20/2020-12-17 10/2020-12-17 10/2020-12-17 10/2020-12-17 20/2020-12-17 10/2020-12-17 10/2020-12-17 30/2020-12-17 10/2020-12-17 30/2020-12-17 30/2020-12-17 10/2020-12-17 30/2020-12-17 30",https://www.justgiving.com/SoupKitchenAB,2020-12-21,505,950,"Soup Kitchen London Emergency Appeal"
,,,1051770,"Soup Kitchen at the American International Church",True,2020-12-16,4,4,"2020-12-22 200/2020-12-18 300/2020-12-17 150/2020-12-17 300",https://www.justgiving.com/TheBuildingSociety,2020-12-22,950,1800,"Soup Kitchen London Emergency Appeal"
,,,1043985,"UCKG HelpCentre",False,2020-12-08,10,10,"2020-12-18 300/2020-12-18 5/2020-12-18 10/2020-12-17 20/2020-12-16 10",https://www.justgiving.com/Maria-Rodrigues-Trigueiros,2020-12-23,425,400,"Miss Fatima's 5ALIVE SOUP KITCHEN"
,,,1043985,"UCKG HelpCentre",True,2020-11-20,8,8,"2020-12-04 100/2020-12-03 20/2020-11-30 30/2020-11-26 10/2020-11-25 10/2020-11-24 20/2020-11-21 20/2020-11-21 20",https://www.justgiving.com/Elma-Burke,2020-12-04,230,400,"Elma's 5Alive! Soup Kitchen."
,,,1043985,"UCKG HelpCentre",True,2020-11-19,9,9,"2020-12-23 20/2020-12-18 10/2020-12-15 50/2020-12-10 20/2020-12-08 20/2020-12-07 20/2020-12-05 20/2020-11-25 20/2020-11-23 20",https://www.justgiving.com/Adeva-Chaponda,2020-12-23,200,4000,"Adeva's 5Alive Campaign"
,,,1051770,"Soup Kitchen at the American International Church",False,2020-11-01,69,69,"2020-12-09 20/2020-11-24 20/2020-11-23 20/2020-11-19 20/2020-11-19 10/2020-11-17 50/2020-11-11 10/2020-11-11 20/2020-11-09 10/2020-11-09 15/2020-11-09 20/2020-11-08 20/2020-11-07 15/2020-11-06 10/2020-11-06 20/2020-11-06 30/2020-11-06 20/2020-11-06 20/2020-11-05 50/2020-11-05 20/2020-11-05 10/2020-11-05 100/2020-11-05 25/2020-11-05 10/2020-11-05 25/2020-11-05 10/2020-11-05 25/2020-11-05 10/2020-11-05 20/2020-11-05 10/2020-11-05 10/2020-11-05 50/2020-11-05 15/2020-11-05 50/2020-11-04 10/2020-11-04 20/2020-11-04 10/2020-11-03 20/2020-11-03 50/2020-11-03 10/2020-11-03 10/2020-11-03 20/2020-11-03 30/2020-11-03 30/2020-11-03 10/2020-11-03 15/2020-11-02 60/2020-11-02 5/2020-11-02 20/2020-11-02 10/2020-11-02 20/2020-11-02 20/2020-11-02 50/2020-11-02 10/2020-11-02 20/2020-11-02 5/2020-11-02 20/2020-11-02 15/2020-11-01 10/2020-11-01 40/2020-11-01 100/2020-11-01 100/2020-11-01 50/2020-11-01 50",https://www.justgiving.com/H-gibbon,2020-12-09,1700,1950,"Soup Kitchen London Emergency Appeal"
,,,1043985,"UCKG HelpCentre",True,2019-12-13,1,1,"2019-12-14 100",https://www.justgiving.com/Yasmin-Senah,2019-12-14,100,1000,"Raising funds to support the Soup Kitchen for the homeless this Christmas"
,,,1051770,"Soup Kitchen at the American International Church",False,2016-11-14,2,0,,https://www.justgiving.com/Soup-kitchen-MKTG,,120,515,"MKTG Soup Kitchen Support"
,,,1082947,Crisis,False,2016-11-17,54,0,,https://www.justgiving.com/Richard-Hartley-Christmas-2016,,1025,1000,"Richard's working at a London hostel for homeless people at Christmas"
,,,1143096,"GAT Project",False,2017-01-03,3,0,,https://www.justgiving.com/GATSOUPKITCHEN,,30,5000,"GAT SOUP KITCHEN"
,,,1043985,"UCKG HelpCentre",False,2019-12-14,6,6,"2020-12-15 10/2020-12-14 20/2020-12-06 5/2020-12-03 10/2020-11-28 20",https://www.justgiving.com/Tiwonge-Makanema,2020-12-15,75,400,"Tiwonges losing 30lbs!"
,,,1026588,"Medecins Sans Frontieres / Doctors Without Borders (MSF)",False,2016-01-15,7,0,,https://www.justgiving.com/Virginia-YIP,,480,0,"Virginia's Syrian Soup Kitchen"
,,,1051770,"Soup Kitchen at the American International Church",False,2020-03-20,15,15,"2020-04-06 15/2020-03-29 25/2020-03-24 30/2020-03-23 20/2020-03-21 50/2020-03-21 40/2020-03-20 50/2020-03-20 20/2020-03-20 30/2020-03-20 50/2020-03-20 50/2020-03-20 100/2020-03-20 25",https://www.justgiving.com/Deborah-Williams39,2020-04-06,535,2000,"Soup Kitchen London Emergency Appeal"
,,,1043985,"UCKG HelpCentre",True,2020-12-16,1,1,"2020-12-24 50",https://www.justgiving.com/Akua-Agyei,2020-12-24,50,400,"Akua's 10k "
,,,1043985,"UCKG HelpCentre",False,2020-12-02,8,8,"2020-12-26 30/2020-12-25 30/2020-12-21 20/2020-12-16 30/2020-12-13 10/2020-12-02 5",https://www.justgiving.com/Dayo-Goode-De-Carvalho2,2020-12-26,155,600,"20/20 challenge"
,,,1043985,"UCKG HelpCentre",True,2020-12-02,0,0,,https://www.justgiving.com/Dayo-Goode-De-Carvalho1,,0,525,"Dayo's The soup kitchen/food bank"
,,,1137947,"Southport Soup Kitchen",True,2020-11-19,0,0,,https://www.justgiving.com/John-Vandermeer,,0,500,"John's Southport Soup Kitchen 10k Challenge"
,,,1137947,"Southport Soup Kitchen",True,2020-11-03,25,25,"2020-12-21 100/2020-12-18 200/2020-12-13 30/2020-12-13 250/2020-12-11 25/2020-11-27 10/2020-11-16 10/2020-11-12 100/2020-11-11 20/2020-11-10 10/2020-11-09 30/2020-11-09 30/2020-11-06 10/2020-11-06 20/2020-11-06 20/2020-11-06 10/2020-11-06 5/2020-11-06 5/2020-11-06 5/2020-11-06 10/2020-11-06 10/2020-11-06 10/2020-11-06 5/2020-11-06 5/2020-11-04 5",https://www.justgiving.com/southportsoupkitchendonations,2020-12-21,935,0,"Fletchers's Southport Soup Kitchen Donations"
,,,1165317,"Simon On The Streets",False,2016-12-16,4,0,,https://www.justgiving.com/watersideapartments,,100,250,"Waterside Apartments & Simon on the Streets"
,,,1051770,"Soup Kitchen at the American International Church",True,2020-04-10,0,0,,https://www.justgiving.com/ASKCOVID,,0,3000,"Soup Kitchen London Emergency Appeal"
,,,1179298,"Newbury Soup Kitchen",False,2019-10-30,193,194,"2020-10-29 10/2020-03-29 36/2019-12-05 200/2019-12-03 40/2019-12-01 200/2019-11-26 20/2019-11-23 20/2019-11-22 50/2019-11-22 20/2019-11-22 50/2019-11-22 15/2019-11-22 50/2019-11-21 20/2019-11-21 20/2019-11-21 10/2019-11-21 10/2019-11-21 5/2019-11-21 10/2019-11-21 20/2019-11-21 14/2019-11-21 30/2019-11-21 5/2019-11-21 20/2019-11-21 20/2019-11-21 200/2019-11-20 20/2019-11-20 30/2019-11-20 10/2019-11-20 20/2019-11-20 15/2019-11-19 30/2019-11-19 10/2019-11-19 30/2019-11-18 10/2019-11-18 20/2019-11-18 50/2019-11-18 20/2019-11-18 10/2019-11-18 20/2019-11-18 10/2019-11-18 100/2019-11-17 36/2019-11-16 50/2019-11-16 20/2019-11-16 100/2019-11-16 50/2019-11-16 5/2019-11-16 20/2019-11-16 30/2019-11-16 10/2019-11-16 77/2019-11-12 20/2019-11-12 10/2019-11-12 20/2019-11-11 20/2019-11-11 50/2019-11-10 10/2019-11-10 40/2019-11-10 10/2019-11-10 20/2019-11-09 30/2019-11-09 15/2019-11-09 20/2019-11-08 20/2019-11-07 30/2019-11-07 10/2019-11-07 30/2019-11-07 30/2019-11-07 10/2019-11-06 30/2019-11-06 20/2019-11-06 50/2019-11-06 20/2019-11-06 10/2019-11-06 10/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-05 20/2019-11-04 10/2019-11-04 5/2019-11-03 30/2019-11-03 5/2019-11-03 30/2019-11-03 10/2019-11-03 20/2019-11-03 10/2019-11-03 10/2019-11-03 20/2019-11-02 10/2019-11-02 20/2019-11-02 100/2019-11-02 125/2019-11-02 20/2019-11-02 20/2019-11-02 50/2019-11-02 10/2019-11-02 10/2019-11-02 10/2019-11-01 25/2019-11-01 30/2019-11-01 50/2019-11-01 5/2019-11-01 20/2019-11-01 30/2019-11-01 10/2019-11-01 30/2019-11-01 10/2019-11-01 50/2019-11-01 20/2019-11-01 10/2019-10-31 10/2019-10-31 100/2019-10-31 20/2019-10-31 25/2019-10-31 10/2019-10-31 20/2019-10-31 30/2019-10-31 30/2019-10-31 30/2019-10-31 50/2019-10-31 30/2019-10-31 20/2019-10-31 50/2019-10-31 10/2019-10-31 10/2019-10-31 10/2019-10-31 30/2019-10-31 10/2019-10-31 10/2019-10-31 10/2019-10-31 100/2019-10-31 30/2019-10-31 30/2019-10-30 50/2019-10-30 10/2019-10-30 30/2019-10-30 10/2019-10-30 30/2019-10-30 15/2019-10-30 10/2019-10-30 10/2019-10-30 10/2019-10-30 10/2019-10-30 20/2019-10-30 20/2019-10-30 10/2019-10-30 20/2019-10-30 30/2019-10-30 10/2019-10-30 10/2019-10-30 20/2019-10-30 30",https://www.justgiving.com/thomas-tunney,2020-10-29,5176,2000,"Tom's Bin the Beard for the Soup Kitchen"
,,,1060941,Framework,False,2017-12-07,13,0,,https://www.justgiving.com/Lyndsaybatchelor,,88,500,"Community Meal/Soup Kitchen"
